Record,EDID,Full - Name
6793514;zzzE09B_Workshop_Recipe_Bin;Plan:  Nuka-Bin
6423605;recipe_mod_weapon_44_material_CamoBlue;Plan: .44 Blue Camo Paint
4419591;Recipe_Weapon_Ranged_44;Plan: .44 Revolver
7232736;Recipe_XPD_AC_RouletteRevolverPaint;Plan: .44 Roulette Paint
4419598;Recipe_Weapon_Ranged_50CalMachineGun;Plan: .50 Cal Machine Gun
6514442;Recipe_mod_10mm_Paint_HalloweenPaint_NW;Plan: 10mm Halloween Paint
6423604;recipe_mod_weapon_10mm_material_HotRodShark;Plan: 10mm Hot Rod Shark Paint
5432453;Recipe_Weapon_Ranged_10mm;Plan: 10mm Pistol
5195626;Recipe_Weapon_Ranged_10mmSMG;Plan: 10mm Submachine Gun
5588919;recipe_mod_10mmSMG_Magazine_Ammo;Plan: 10mm Submachine Gun Drum Magazine
4023604;Recipe_Workshop_Instruments_Wood;Plan: Acoustic Instruments
7596349;SCORE_Recipe_workshop_CAMP_Ally_Adelaide_GoldVendor;Plan: Adelaide
5152721;Recipe_Workshop_PowerConnectors_AdvancedItems;Plan: Advanced Power Connectors
3970294;Recipe_Workshop_WallDecor_PoweredPoster_Adverts;Plan: Advertisement Posters
6906449;Recipe_Backpack_Standard_Material_Alien;Plan: Alien Backpack
4419596;Recipe_Weapon_Ranged_AlienBlaster;Plan: Alien Blaster
6482683;recipe_mod_AlienBlaster_AlienMag_DTCryo;Plan: Alien Blaster Cryo Mag
3470;recipe_mod_AlienBlaster_AlienMag_AmmoConversion;Plan: Alien Blaster Fusion Mag
6482684;recipe_mod_AlienBlaster_AlienMag_DTPoison;Plan: Alien Blaster Poison Mag
3469;POST_recipe_mod_AlienBlaster_Scope_ScopeShort_NV;Plan: Alien Blaster Short NV Scope
6496811;Recipe_Workshop_AlienOperatingBed;Plan: Alien Corpse Operating Bed
6487678;Recipe_Weapon_Ranged_AlienRifle;Plan: Alien Disintegrator
6487676;recipe_mod_AlienRifle_Receiver_Auto;Plan: Alien Disintegrator Automatic Receiver
6487675;recipe_mod_AlienRifle_Receiver_DTCryo;Plan: Alien Disintegrator Cryo Receiver
6487674;recipe_mod_AlienRifle_Receiver_Sniper;Plan: Alien Disintegrator High Powered Receiver
6487677;recipe_mod_AlienRifle_Receiver_DTPoison;Plan: Alien Disintegrator Poison Receiver
7732229;Recipe_Invaders_Workshop_Lights_AlienHeadLamp;Plan: Alien Head Lamp
5731011;Recipe_Workshop_FloorDecor_PumpkinCarved06;Plan: Alien Jack O'Lantern
6906445;zzz_recipe_Armor_PowerArmor_AlienInvaderV2_ArmRight;Plan: Alien Power Armor Right Arm v2
6906448;zzz_recipe_Armor_PowerArmor_AlienInvaderV2_LegRight;Plan: Alien Power Armor Right Leg v2
6502461;Recipe_Tinkers_Souvenir_Stein_AlienCollectable;Plan: Alien Souvenir Beer Stein
