Full - Name;EDID;
Plan: Nuka-Bin;zzzE09B_Workshop_Recipe_Bin;
Plan: .44 Blue Camo Paint;recipe_mod_weapon_44_material_CamoBlue;
Plan: .44 Revolver;Recipe_Weapon_Ranged_44;
Plan: .50 Cal Machine Gun;Recipe_Weapon_Ranged_50CalMachineGun;
Plan: 10mm Halloween Paint;Recipe_mod_10mm_Paint_HalloweenPaint_NW;
Plan: 10mm Hot Rod Shark Paint;recipe_mod_weapon_10mm_material_HotRodShark;
Plan: 10mm Pistol;Recipe_Weapon_Ranged_10mm;
Plan: 10mm Submachine Gun;Recipe_Weapon_Ranged_10mmSMG;
Plan: 10mm Submachine Gun Drum Magazine;recipe_mod_10mmSMG_Magazine_Ammo;
Plan: Acoustic Instruments;Recipe_Workshop_Instruments_Wood;
Plan: Advanced Power Connectors;Recipe_Workshop_PowerConnectors_AdvancedItems;
Plan: Advertisement Posters;Recipe_Workshop_WallDecor_PoweredPoster_Adverts;
Plan: Alien Backpack;Recipe_Backpack_Standard_Material_Alien;
Plan: Alien Blaster;Recipe_Weapon_Ranged_AlienBlaster;
Plan: Alien Blaster Cryo Mag;recipe_mod_AlienBlaster_AlienMag_DTCryo;
Plan: Alien Blaster Fusion Mag;recipe_mod_AlienBlaster_AlienMag_AmmoConversion;
Plan: Alien Blaster Poison Mag;recipe_mod_AlienBlaster_AlienMag_DTPoison;
Plan: Alien Blaster Short NV Scope;POST_recipe_mod_AlienBlaster_Scope_ScopeShort_NV;
Plan: Alien Corpse Operating Bed;Recipe_Workshop_AlienOperatingBed;
Plan: Alien Disintegrator;Recipe_Weapon_Ranged_AlienRifle;
Plan: Alien Disintegrator Automatic Receiver;recipe_mod_AlienRifle_Receiver_Auto;
Plan: Alien Disintegrator Cryo Receiver;recipe_mod_AlienRifle_Receiver_DTCryo;
Plan: Alien Disintegrator High Powered Receiver;recipe_mod_AlienRifle_Receiver_Sniper;
Plan: Alien Disintegrator Poison Receiver;recipe_mod_AlienRifle_Receiver_DTPoison;
Plan: Alien Jack O'Lantern;Recipe_Workshop_FloorDecor_PumpkinCarved06;
Plan: Alien Power Armor Right Arm v2;zzz_recipe_Armor_PowerArmor_AlienInvaderV2_ArmRight;
Plan: Alien Power Armor Right Leg v2;zzz_recipe_Armor_PowerArmor_AlienInvaderV2_LegRight;
Plan: Alien Souvenir Beer Stein;Recipe_Tinkers_Souvenir_Stein_AlienCollectable;
Plan: Alien Stash Box;Recipe_Workshop_Container_StashBox_Zetan;
Plan: Alien Tube;Recipe_Workshop_ZetanTube;
Plan: Alpine Horn;Recipe_Workshop_FloorDecor_Fasnacht_AlpineHorn;
Plan: Ammo Converter;SCORE_Recipe_workshop_CAMP_Utility_AmmoConverter_GoldVendor;
Plan: Animatronic Clown;Recipe_Workshop_FloorDecor_Animatronic_Clown;
Plan: Antique Globe of Mars;Recipe_Workshop_FloorDecor_Globe_Mars;
Plan: Antique Lights;Recipe_Workshop_Lights_AntiqueLights;
Plan: Antique Tables;Recipe_Workshop_Tables_Federalist01;
Plan: Antique Wooden Chairs;Recipe_Workshop_Chairs_Chairs_Wood_Antique;
Plan: Antler Chandelier;Recipe_Workshop_Lights_AntlerChandelier_Survivors2020_NW;
Plan: Aqua Backpack Material;zzz_Recipe_Backpack_Material_Aqua;
Plan: Arctic Marine Armor Helmet;Recipe_Headwear_Marine_Arctic_Helmet_30;
Plan: Arctic Marine Left Arm;Recipe_Armor_Marine_Arctic_ArmLeft_30;
Plan: Arctic Marine Left Leg;Recipe_Armor_Marine_Arctic_LegLeft_30;
Plan: Arctic Marine Right Arm;Recipe_Armor_Marine_Arctic_ArmRight_30;
Plan: Arctic Marine Right Leg;Recipe_Armor_Marine_Arctic_LegRight_30;
Plan: Arctic Marine Torso;Recipe_Armor_Marine_Arctic_Torso_30;
Plan: Arm Wrestle Machine;SCORE_Recipe_workshop_CAMP_Utility_ArmWrestleMachine_GoldVendor;
Plan: ArmCo Ammunition Construction Appliance;W05_Recipe_workshop_AmmoConstructionMachine_GoldVendor;
Plan: Artillery;Recipe_Workshop_DefensiveStructures_Artillery;
Plan: Ashtray;Recipe_Workshop_Appliances_HighTechAshtray_Dirty;
Plan: Assault Rifle;Recipe_Weapon_Ranged_AssaultRifle_MQ;
Plan: Assault Rifle Bat Paint;Recipe_mod_AssaultRifle_Paint_Bats_NW;
